@relation 'AT: wine-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '-0.423Flavanoids-0.395Total_phenols-0.376OD280\%2FOD315_of_diluted_wines-0.313Proanthocyanins+0.299Nonflavanoid_phenols...' numeric
@attribute '0.53 Color_intensity+0.484Alcohol+0.365Proline+0.316Ash+0.3  Magnesium...' numeric
@attribute '-0.626Ash-0.612Alcalinity_of_ash+0.207Alcohol-0.17Nonflavanoid_phenols-0.166OD280\%2FOD315_of_diluted_wines...' numeric
@attribute 0.537Malic_acid-0.428Hue+0.399Proanthocyanins-0.352Magnesium-0.232Proline... numeric
@attribute 0.727Magnesium-0.501Nonflavanoid_phenols-0.266Alcohol-0.174Hue-0.158Proline... numeric
@attribute '-0.537Malic_acid+0.534Proanthocyanins+0.419Color_intensity-0.266OD280\%2FOD315_of_diluted_wines+0.259Nonflavanoid_phenols...' numeric
@attribute 0.595Nonflavanoid_phenols+0.421Malic_acid+0.372Proanthocyanins+0.323Magnesium-0.287Alcalinity_of_ash... numeric
@attribute -0.437Hue-0.428Alcalinity_of_ash+0.406Total_phenols-0.396Alcohol-0.368Proanthocyanins... numeric
@attribute 0.576Proline-0.509Alcohol+0.308Ash-0.286Total_phenols-0.271Magnesium... numeric
@attribute '-0.524OD280\%2FOD315_of_diluted_wines+0.522Hue+0.32 Total_phenols+0.309Malic_acid+0.291Color_intensity...' numeric
@attribute class {1,2,3}

@data
-4.300652,2.09008,1.260357,0.304913,-1.026796,0.793405,0.997158,-0.403752,0.837979,0.363408,1
-2.298704,1.657875,-0.21729,-1.436538,-0.468229,-0.421026,-0.180458,0.08388,0.40332,0.797406,1
-2.165846,2.320759,-0.82939,-0.910034,-0.000115,-0.066342,0.10918,-0.398311,-0.060884,-0.019459,1
-1.893629,1.62678,-0.792678,-1.079336,-0.437471,0.363904,0.091389,0.112523,-0.380959,0.400192,1
-3.532022,2.51126,0.484093,-0.907762,-1.149836,0.303022,-0.03337,-0.0355,0.440324,0.78237,1
-2.078659,1.058153,0.164283,0.483633,0.880029,-1.389099,-0.102184,0.578284,-0.058588,0.149627,1
-3.115614,0.784684,0.363861,-0.02549,0.969678,-0.106621,0.264018,0.185079,-1.314754,-0.361073,1
-1.083514,0.241064,-0.934326,1.027013,0.315083,-1.207608,0.296096,-0.106152,0.571088,0.092173,1
-2.528093,-0.091582,0.311055,-0.048255,-0.428373,-1.012088,-0.12741,-0.076399,-0.107958,-0.823196,1
-1.640361,-0.514827,-0.14348,-0.412556,-0.374663,-0.782299,-0.666522,0.194716,0.690455,-0.470356,1
-1.756621,-0.316257,-0.887781,-0.114792,-0.555103,-0.896221,-0.621797,-0.341311,-0.094717,-0.664556,1
-0.987294,0.938021,-3.81016,-1.317844,0.158557,-0.264382,0.480552,0.094625,-0.110083,-0.464648,1
-1.770284,0.684245,0.086457,-0.232252,-1.139728,-0.569867,-0.45674,0.906165,0.740175,-0.441299,1
-1.231949,-0.089554,1.382995,-0.494288,-0.374884,-0.606378,-0.361989,-0.235823,0.732727,-0.29859,1
-2.18225,0.68763,-1.390644,-0.775305,-0.808304,-0.600379,0.117601,-0.074585,-0.45845,0.028028,1
-2.249763,0.190923,1.089584,0.285347,-0.481714,-0.334291,-0.157905,-0.468742,-0.137115,-0.800102,1
-2.493187,1.237343,-1.382119,-0.365833,-0.620582,0.580817,-0.414828,-1.056455,0.536881,0.319835,1
-2.66988,1.467733,0.331327,-0.348371,-0.086351,0.164366,-0.532739,-0.53031,0.785303,0.218366,1
-1.623998,0.052556,0.166659,-0.747206,-0.634274,-0.044194,0.977572,-0.497667,-0.131159,-0.165104,1
-1.897339,1.628467,-1.168785,-2.333846,-0.186289,-0.327065,0.981166,0.511202,-0.70972,-0.099329,1
-1.406421,0.695971,-0.478394,-1.057104,0.098882,-0.708252,-0.229093,-0.226835,0.395617,-0.199395,1
-1.898471,0.176214,-0.449567,0.283314,-0.162491,-0.17415,-0.655977,-0.353731,-0.207576,-0.335997,1
-1.380967,0.656787,-0.457149,-1.281044,-0.204435,-0.618746,-0.07018,0.958045,0.304426,0.202781,1
-1.119051,0.113789,0.038997,-0.953711,-0.341249,-0.407975,-0.407454,-0.029259,0.851462,0.312591,1
-1.497969,-0.767268,1.422166,-0.755377,-0.165378,-0.414284,-0.026823,-0.026281,0.277335,0.282496,1
-2.522685,1.79793,0.342187,1.183635,1.294245,-1.537932,0.962972,0.766771,-0.719301,-0.022618,1
-2.580815,0.777423,0.118144,0.474633,0.402187,0.723143,0.547587,0.704042,-0.815204,-0.323235,1
-0.666602,0.169483,0.781159,1.30939,-0.370718,-1.320965,0.027115,-0.325121,0.284284,0.072017,1
-3.062169,1.152667,0.311878,0.548737,-0.30327,-0.805645,-1.008573,0.927207,0.217628,-0.229442,1
-0.460909,0.329812,0.20091,1.432453,0.282428,-1.02571,0.569787,0.564179,-0.292474,0.077972,1
-2.095441,-0.070809,0.654005,0.755613,0.470211,0.370762,0.02049,0.622578,-0.298162,-0.428004,1
-1.13297,1.772108,-0.028625,0.689885,-0.060753,-1.908484,0.172211,0.255992,-0.551859,-0.186825,1
-2.718931,1.187984,0.538255,1.385642,-0.495497,-1.008155,0.73735,-0.24257,-0.445344,0.110755,1
-2.813403,0.644441,1.152302,0.984885,-0.009949,0.289948,-0.472581,0.141813,-0.405459,-0.253076,1
-2.004197,1.243522,0.057133,0.229994,-0.383569,0.524475,0.227876,-0.798875,-0.114958,0.027638,1
-2.699875,1.747039,0.641305,-0.09995,-0.493321,0.730219,0.007598,-0.250565,-0.177065,0.304525,1
-3.205874,0.166522,1.96802,1.117532,0.012244,1.227357,0.260078,-0.46673,1.228992,0.591649,1
-2.850918,0.743182,-0.004706,-0.214671,-0.756674,-0.191583,-0.352752,-1.069108,0.984184,-0.113834,1
-3.495743,1.608197,0.51931,0.106237,-0.599992,0.183028,0.151445,1.417105,-0.401676,0.423653,1
-2.218533,1.869893,-0.338595,-1.203571,-0.575022,-0.245263,0.463852,0.398154,0.314407,0.082251,1
-2.140948,1.013891,0.955069,-0.239642,0.877629,-0.360757,-0.410789,0.288753,-0.279747,-0.453497,1
-2.462383,1.32527,-0.511993,0.25463,0.909574,0.553309,-0.357393,-0.536011,0.135265,-0.155448,1
-2.733806,1.432508,0.610751,0.205169,0.433042,0.115671,-0.039119,0.350399,-0.930463,-0.345877,1
-2.167626,1.20879,-0.261043,-0.503007,-0.693466,-0.256261,-0.218447,0.610124,0.836627,0.454038,1
-3.130549,1.726708,0.284858,0.229919,0.07483,0.350573,-0.840704,0.624516,0.413469,0.202139,1
0.92597,-3.064841,4.572166,-1.048886,0.455838,-0.387161,-0.092012,0.675903,-0.374915,0.414141,2
1.538141,-1.377558,0.872223,-2.88199,-0.975257,0.034913,1.055875,1.072351,-0.275221,0.58052,2
1.831084,-0.827649,1.601185,-1.44802,-0.293249,0.682192,0.253429,0.97969,-0.90472,0.570314,2
-0.030521,-1.259234,1.779389,-1.203182,-0.392497,-0.605379,-0.569377,-0.61812,-1.198577,0.304344,2
-2.044494,-1.919618,0.007348,0.719293,-0.080898,0.762376,-1.072811,0.297709,-0.609338,1.403501,2
0.607966,-1.902692,-0.677447,-2.14702,-0.049762,-0.190827,0.501706,0.015771,-0.328216,1.045636,2
-0.897696,-0.761763,-0.571748,-0.677451,-0.142232,1.01467,0.192769,0.092898,0.589112,0.678114,2
-2.242182,-1.879291,2.026125,1.403668,-0.729948,1.299732,-0.343749,-0.176291,-0.805356,0.37486,2
-0.182868,-2.420319,1.066736,0.12706,-0.53307,-0.069804,-1.350954,-0.225671,-0.401264,-0.106502,2
0.810519,-0.219894,0.705017,-2.481988,-0.581918,-0.316547,0.366059,1.243092,-0.994048,-0.127668,2
-1.970063,-1.399336,1.234793,-1.149065,4.17488,0.491611,1.452448,-1.039545,-0.373326,-0.414943,2
1.567794,-0.882494,0.627229,-1.16855,0.962629,0.268652,0.150398,-0.717782,1.086274,-0.669455,2
-1.653019,-0.954021,-1.947092,0.151781,-0.784947,-0.315335,-1.487435,-1.526643,-1.155464,0.702408,2
0.723332,-1.060653,-0.080106,-0.075806,-0.179659,-0.542786,-1.594404,-1.04934,-0.895573,-0.386968,2
-2.55502,0.259467,-3.364902,-0.976644,1.975227,-0.311162,-0.448129,-1.127452,-1.1088,0.133602,2
-1.827413,-1.284255,-0.456991,0.170869,0.998406,0.077639,-1.371769,0.527523,0.450362,0.239424,2
0.865551,-2.437226,1.558936,-0.829121,0.705988,0.112048,0.42199,0.064712,0.215631,0.940274,2
-0.368974,-2.147848,2.442496,-0.125804,0.095032,0.555357,-0.645992,-0.737731,-0.779009,0.469774,2
1.453278,-1.37946,0.226668,-0.694398,1.06436,-0.816467,0.931633,0.852882,0.048671,-0.071691,2
-1.259378,-0.768681,1.180893,-0.923278,2.606241,1.593301,2.008094,-0.171994,0.156063,-0.57455,2
-0.375092,-1.024154,-1.789419,0.975792,-0.136185,-0.659293,1.189856,-0.332314,-0.797435,0.584284,2
-0.75992,-3.36556,0.356465,-0.365701,-0.154006,0.244552,-0.418735,-0.240757,-0.671166,0.663579,2
-1.031668,-1.446629,0.361991,0.295761,-0.305027,-0.100056,-0.458008,-0.603892,0.290249,0.099795,2
0.493485,-2.374545,-1.331986,-1.038051,-1.039195,0.112457,-0.644592,-0.945961,0.528904,0.134386,2
2.531835,-0.087197,-0.472917,0.756468,-1.124644,0.180178,1.153046,-0.500803,-0.200557,-0.149294,2
-0.83297,-1.469525,-0.608377,0.581312,0.896655,0.880045,-0.830753,0.559281,1.208858,-0.840247,2
-0.785688,-2.020926,0.254007,-0.807141,0.258124,-0.157362,-0.269265,-0.146661,-0.517153,-0.134352,2
0.804563,-2.227547,-0.770682,-1.010864,-0.291041,0.34861,0.256207,-1.054736,0.065739,0.490349,2
0.556473,-2.36631,-2.30112,-1.032408,-0.475598,-0.236899,-0.490318,-0.864036,0.41363,0.143665,2
1.111974,-1.797178,-0.956555,-0.330352,-0.729452,0.057783,0.087527,0.311638,0.902131,-0.304687,2
0.55416,-2.650065,-0.846738,-0.003189,-1.34247,0.0405,-0.75906,-0.434882,0.349678,-0.677792,2
1.34549,-2.112044,0.047518,-0.464939,-0.888041,0.495193,0.754163,-0.121422,0.616298,-0.191219,2
1.560082,-1.847004,-0.77887,-0.603377,-0.515013,0.729958,0.137254,-0.442433,0.414513,-0.591594,2
1.927119,-1.555109,0.089024,-0.521099,-1.170396,0.903413,0.537356,-0.546492,0.131853,-0.733022,2
-0.744566,-2.306426,-0.114357,1.245027,0.262197,-0.515234,0.208195,-0.195167,-0.103419,0.404992,2
-0.954762,-2.217274,-0.142044,0.31316,0.941487,-0.38175,-0.755977,0.899913,-0.09634,1.270728,2
-2.536709,0.168798,-0.786478,-1.029932,3.720584,1.347876,2.636633,-0.531611,-0.157712,-0.528187,2
0.542422,-0.367889,-1.305214,-1.274404,3.337376,-0.707498,-0.350869,-0.113342,0.995318,-0.056652,2
-1.028149,-2.558353,1.083334,0.263119,-0.18931,0.401553,0.013416,0.035173,-0.180238,0.727492,2
-2.245575,-1.428711,0.229561,0.91858,-0.239248,1.039416,-0.869174,0.758204,-0.235853,0.940264,2
-1.406249,-2.160098,-0.74679,1.192248,-0.70786,0.608901,2.086194,-0.585386,-0.127889,1.207797,2
-0.795476,-2.370263,1.563702,-0.034718,0.615356,-0.286837,0.281299,-0.377926,-0.112691,0.614425,2
0.547986,-2.286678,1.494719,-0.306175,0.325094,-0.150334,-0.410633,-0.797512,0.051354,-0.666571,2
0.16072,-1.161208,-1.00089,0.659825,0.300338,-0.658662,-0.49662,0.958527,-0.323644,-0.601041,2
0.657939,-2.672423,0.762769,0.468633,0.144064,0.452371,-0.047535,0.44176,-0.230672,0.103079,2
-0.391251,-2.092828,0.470523,0.435827,-0.302956,-0.248613,-0.451922,-0.398811,-0.174864,-0.737263,2
1.767513,-1.712458,-0.944369,0.258783,-1.001999,0.105723,1.076006,0.409628,-0.764562,-1.418104,2
0.365237,-2.163251,0.47997,0.39728,-0.467732,0.19394,-0.2396,-0.285608,0.337242,-0.648576,2
1.616114,-1.35177,-0.286351,-0.025951,-0.567751,0.579533,-0.077398,-0.687472,0.053713,-0.919045,2
-0.082304,-2.299747,0.462271,0.887847,0.339619,1.109375,0.209775,0.301182,-0.558991,-0.807832,2
-1.573835,-1.457922,-1.77464,0.611858,0.287172,0.795075,-0.280446,0.615317,1.261277,-0.311427,2
-1.416573,-1.414217,-0.138884,3.42089,2.190705,1.453017,1.677295,0.034884,0.54895,0.192696,2
0.277919,-1.925138,-0.078449,0.925909,0.26076,-0.678084,-0.845209,0.288245,-0.592375,0.174977,2
1.299479,-0.761026,-1.993972,-1.720981,-0.732839,-0.485351,1.130089,0.842582,0.700272,0.504879,2
0.455786,-2.263032,-1.058353,-0.835076,-0.322541,1.000295,-0.503012,0.73895,0.42208,0.50554,2
0.492796,-1.933591,-1.320214,-0.061424,-0.84652,-0.033084,-0.97937,0.95576,-0.371717,-0.365851,2
-0.480718,-3.860893,-1.34049,-0.897379,-0.929735,0.966643,1.399161,-0.676882,0.096921,1.350378,2
0.252178,-2.813556,0.301788,0.456679,0.370043,0.048129,-0.566567,-0.141882,0.160791,-0.841456,2
0.106926,-1.923496,-0.688207,-0.272953,1.068084,0.037117,-0.012666,-0.35951,-0.81525,-0.453182,2
2.426169,-1.253605,1.897674,0.867285,-0.466826,-0.825627,0.241262,0.63616,-0.126388,-0.174281,2
0.549539,-2.215911,0.355227,1.359485,0.216106,-0.570807,0.963211,-0.1931,0.487543,-0.464315,2
-0.737541,-1.404993,-1.12218,1.201722,0.428712,0.105548,-0.204449,1.389547,0.645106,-0.211025,2
-1.332563,0.252624,-5.330352,0.238365,0.235837,0.798726,-0.598713,1.773775,-0.414862,0.251103,2
1.173776,-0.662099,-3.001754,1.162857,0.331793,-1.176307,0.610827,-0.249549,-0.286146,-0.170563,2
0.461034,-0.616549,-0.482082,3.566663,0.128459,-1.510959,0.760616,-0.248646,-0.471212,0.23261,2
-0.975722,-1.441504,-1.47707,3.779673,0.498404,-0.118953,0.180261,0.099889,0.790257,-0.017256,2
0.096537,-2.104063,-0.433603,1.051728,-0.310568,-0.109825,-0.531765,0.83941,-0.441782,-0.293704,2
-0.038379,-1.263199,-0.685644,1.269304,-0.352059,0.971169,-0.814496,0.977475,-0.518231,-0.445045,2
1.592666,-1.204745,-3.351721,-0.218661,-0.638961,0.863698,0.138225,-0.11254,0.163808,-0.231931,2
0.478216,-1.933387,-1.292861,0.685044,-0.060315,0.682237,-0.409421,-0.300251,-0.414215,-0.607576,2
1.78779,-1.147052,-0.780598,1.474619,-0.5028,-0.992695,0.317612,0.252378,0.723124,0.085218,2
1.323369,0.16991,1.176694,-1.497486,2.298806,-0.152423,-0.823494,0.274278,0.173525,0.027375,3
2.377793,0.373529,0.721787,-0.307328,1.335864,-0.718007,-0.927204,-0.141089,0.361397,0.472174,3
2.928679,0.26312,0.167168,-0.407624,1.084746,-0.094011,-1.599142,-0.571427,0.350449,0.001241,3
2.140772,0.367219,0.452026,0.048391,1.721775,-1.028738,-1.005707,-0.286583,0.418597,1.05818,3
2.363203,-0.458342,1.098302,-0.854367,-1.064005,1.426716,0.338589,0.846303,0.314993,-0.368018,3
3.055223,0.352419,1.096032,-0.738315,-0.735633,0.838691,0.714554,0.746853,0.099244,-0.191605,3
3.904739,0.154148,-0.221204,-0.009043,-0.361708,-1.121647,0.894817,0.20248,1.199088,0.448823,3
3.92539,0.657832,-1.707399,0.543949,-0.535813,-0.888118,1.461848,-0.062479,0.064471,0.595186,3
3.085572,0.347861,1.023943,-0.071149,-1.05637,-0.385869,0.770216,-0.14592,-0.526619,-0.138563,3
2.367792,0.291159,-1.238421,-0.746699,-0.41441,-0.425647,0.07327,0.330808,-0.537455,0.08227,3
2.770996,0.285998,-0.607955,-0.876873,-0.552864,-0.733689,0.010183,0.433591,0.151775,-0.741411,3
2.280129,0.37146,0.96891,-0.370393,-0.337141,-0.910251,-0.962084,-0.149857,0.241379,-0.92216,3
2.977235,0.487842,-0.944289,-1.033311,-0.583501,-1.22422,-0.23097,-0.31975,-0.508705,-0.262177,3
2.368513,0.480977,0.252173,0.669261,-0.626325,-1.555951,0.969331,-0.373519,-0.513922,0.508339,3
2.203649,1.156789,1.241623,0.317941,1.683943,-0.330143,0.009331,0.286087,0.997577,0.209951,3
2.618235,0.561577,0.853553,0.274909,0.649281,-0.446061,0.57503,-0.397908,0.32257,-0.759528,3
4.268598,0.647843,1.454095,1.124991,-0.358543,-1.612096,-0.075109,-0.761919,-0.098467,0.023778,3
3.572564,1.269123,0.110472,1.046956,-0.522079,-0.598485,-0.187936,0.420161,0.422902,0.150509,3
2.799168,1.566116,0.471199,0.625594,-0.259441,0.551687,-0.4482,0.122527,-0.044502,-0.021807,3
2.891503,2.035316,0.494565,0.46983,1.43483,0.178041,-0.392413,0.045929,-0.090223,0.60881,3
2.314209,2.349738,-0.436451,-0.052113,2.228142,0.076563,-1.269857,-0.465156,-0.303792,0.421752,3
2.542658,2.03953,0.31139,0.385883,1.842326,0.977272,-1.622614,0.268905,0.147386,0.431438,3
1.807443,1.523349,-1.358757,-0.188863,1.744466,0.967562,-1.537514,-0.079267,-0.367737,0.302216,3
2.752381,2.132916,0.961915,0.666506,-0.4757,1.797044,1.015541,0.370713,0.013269,-0.095709,3
2.729451,0.408733,1.187056,-0.66118,0.457746,1.876597,0.023273,0.39209,0.002283,-0.835469,3
3.594729,1.797314,0.093772,1.265271,-0.607751,0.191393,1.414433,-0.197319,0.174172,0.186066,3
2.881697,1.919803,0.780122,1.320999,-0.569636,0.429394,0.217243,-0.136617,-0.348359,0.14478,3
3.382614,1.308186,-1.59752,-0.481484,-0.668984,0.801305,0.095567,0.107464,0.429102,-0.309517,3
1.045233,3.505202,-1.156775,0.932698,-0.896918,3.275043,-0.640656,-0.520867,-0.940614,-0.350894,3
1.605384,2.399868,-0.547017,0.752188,-0.992407,2.911265,-0.709056,0.137141,-0.189016,-0.079722,3
3.13429,0.736085,0.090743,0.977889,-0.408661,0.3978,-0.073823,1.090115,0.15536,0.619308,3
2.233855,1.172159,0.101092,-1.162001,-0.263705,-0.798785,0.538364,-0.132231,-0.554027,0.246127,3
2.839663,0.55448,-0.801953,-0.895362,-0.254085,-0.287756,0.865321,0.251275,-0.317714,-0.251912,3
2.59019,0.696002,0.88245,-0.273457,0.770063,-0.717818,0.271734,0.259809,0.338537,-0.22417,3
2.941003,1.550934,0.980634,0.015437,-0.363058,0.489824,-0.983162,-0.783587,-0.355326,-0.007633,3
3.520102,0.880044,0.464718,0.579156,-0.667078,-0.457524,0.520752,-1.072103,-0.485071,-0.03418,3
2.399342,2.585064,-0.427022,-0.183817,0.446402,0.567904,0.035701,-0.671351,-0.167534,0.86342,3
2.920845,1.270862,1.209945,0.294485,-0.266598,0.380141,-0.642508,0.000551,0.501117,0.598336,3
2.175277,2.071693,-0.761634,-0.388497,0.358861,0.627797,-0.751203,-0.923469,0.109525,-0.216025,3
2.37423,2.581386,-1.414055,0.586847,1.124824,-0.980878,-0.927855,-0.293178,0.002519,0.706796,3
3.202583,-0.250542,0.844746,-0.216455,0.607382,-0.394266,-0.291028,0.581267,0.595444,-0.15449,3
3.667573,0.845363,1.335653,-0.124824,-0.484745,0.855546,-1.022755,0.674185,-0.020565,0.02726,3
2.45862,2.187627,0.916196,0.017974,-0.699237,0.67894,-0.826867,-0.295682,-0.325917,-0.273388,3
3.361043,2.210055,0.341606,1.055549,-0.572549,-1.105669,0.95572,-0.145687,0.022434,0.303262,3
2.594637,1.752286,-0.206997,0.348513,0.254346,-0.026391,0.14648,-0.550873,0.097694,0.205481,3
2.670307,2.753133,0.938295,0.311157,1.267779,0.2723,0.677325,0.046892,-0.001219,0.2473,3
2.380303,2.290884,0.549147,-0.686348,0.811666,1.175467,0.632192,0.389729,-0.057286,-0.490107,3
3.199732,2.761131,-1.011062,0.595224,-0.892674,0.295259,0.005725,-0.29209,-0.739574,0.117637,3
